Monday ID,File Name,S3 - public bucket,Vimeo link
724967777,How_AI_can_help_in_a_Covid-19_world,https://s3-eu-west-1.amazonaws.com/ws20-output/724967777_How_AI_can_help_in_a_Covid-19_world.mp4,https://vimeo.com/488834552/7442a511e9
712266953,Creating_a_diverse_global_company,https://s3-eu-west-1.amazonaws.com/ws20-output/712266953_Creating_a_diverse_global_company.mp4,https://vimeo.com/488368947/1b58b578b3
737338448,PITCH_quarter-final_#3_&_announcement,https://s3-eu-west-1.amazonaws.com/ws20-output/737338448_PITCH_quarter-final_#3_&_announcement.mp4,https://vimeo.com/488929924/4b2c5fce9e
710336423,How_tech_reinvents_the_brands_you_love,https://s3-eu-west-1.amazonaws.com/ws20-output/710336423_How_tech_reinvents_the_brands_you_love.mp4,https://vimeo.com/486988656/553d3ee28c710336423
724967630,Creating_new_opportunities_for_consumers_in_a_difficult_year,https://s3-eu-west-1.amazonaws.com/ws20-output/724967630_Creating_new_opportunities_for_consumers_in_a_difficult_year.mp4,https://vimeo.com/488538900/82427bf5d4
741089172,Winning_investments_for_2021,https://s3-eu-west-1.amazonaws.com/ws20-output/741089172_Winning_investments_for_2021.mp4,https://vimeo.com/488617211/ec0f45d4df
711262484,Working_together_apart:_Building_swift_trust,https://s3-eu-west-1.amazonaws.com/ws20-output/711262484_Working_together_apart:_Building_swift_trust.mp4,https://vimeo.com/488660989/f264522436
710235102,Tipping_point:_The_women's_sport_revolution,https://s3-eu-west-1.amazonaws.com/ws20-output/710235102_Tipping_point:_The_women's_sport_revolution.mp4,https://vimeo.com/487203629/dee8522220710235102
710653484,Collaboration_in_a_crisis:_Is_Covid_stress_testing_the_EU?,https://s3-eu-west-1.amazonaws.com/ws20-output/710653484_Collaboration_in_a_crisis:_Is_Covid_stress_testing_the_EU?.mp4,https://vimeo.com/487031715/d587b388be710653484
711262487,Building_alicorns,https://s3-eu-west-1.amazonaws.com/ws20-output/711262487_Building_alicorns.mp4,https://vimeo.com/488416070/7c684aadc0
710235312,Ask_not_what_your_brand_can_do_for_you...,https://s3-eu-west-1.amazonaws.com/ws20-output/710235312_Ask_not_what_your_brand_can_do_for_you....mp4,https://vimeo.com/486832061/59fcf8b7bd
711262504,From_novelty_to_necessity:_how_the_pandemic_changed_drone_delivery_for_good,https://s3-eu-west-1.amazonaws.com/ws20-output/711262504_From_novelty_to_necessity:_how_the_pandemic_changed_drone_delivery_for_good.mp4,https://vimeo.com/488631440/b2a2ecc189
710234860,Baobab_Studios:_The_making_of_Baba_Yaga,https://s3-eu-west-1.amazonaws.com/ws20-output/710234860_Baobab_Studios:_The_making_of_Baba_Yaga.mp4,https://vimeo.com/487203532/c30432723a710234860
712266986,Building_a_network-effect_business,https://s3-eu-west-1.amazonaws.com/ws20-output/712266986_Building_a_network-effect_business.mp4,https://vimeo.com/488705014/6e3d9c09f0
741098679,Evolution_through_innovation,https://s3-eu-west-1.amazonaws.com/ws20-output/741098679_Evolution_through_innovation.mp4,https://vimeo.com/488598244/1e11bc2248
724967657,The_cybersecurity_paradigm_shift,https://s3-eu-west-1.amazonaws.com/ws20-output/724967657_The_cybersecurity_paradigm_shift.mp4,https://vimeo.com/488733949/e55435645b
710797553,Is_business_news_still_big_business?,https://s3-eu-west-1.amazonaws.com/ws20-output/710797553_Is_business_news_still_big_business?.mp4,https://vimeo.com/488422508/d3fb6fba35
710653463,How_to_move_money_safely,https://s3-eu-west-1.amazonaws.com/ws20-output/710653463_How_to_move_money_safely.mp4,https://vimeo.com/487025895/980226c6b5710653463
711262516,Leadership_during_a_pandemic,https://s3-eu-west-1.amazonaws.com/ws20-output/711262516_Leadership_during_a_pandemic.mp4,https://vimeo.com/488907734/c618ea90b9
710336430,Evolution_from_the_inside_out,https://s3-eu-west-1.amazonaws.com/ws20-output/710336430_Evolution_from_the_inside_out.mp4,https://vimeo.com/488795504/05fc4912f6
838186709,Innovating_and_connecting_during_a_pandemic,https://s3-eu-west-1.amazonaws.com/ws20-output/838186709_Innovating_and_connecting_during_a_pandemic.mp4,https://vimeo.com/488801682/d3f1204547
710235312,Ask_not_what_your_brand_can_do_for_you...,https://s3-eu-west-1.amazonaws.com/ws20-output/710235312_Ask_not_what_your_brand_can_do_for_you....mp4,https://vimeo.com/486870929/eae0a5ebf7710235312
710653440,Covid-19:_Is_there_optimism_in_the_outlook?,https://s3-eu-west-1.amazonaws.com/ws20-output/710653440_Covid-19:_Is_there_optimism_in_the_outlook?.mp4,https://vimeo.com/487001152/b16edbc56a710653440
710653456,How_fintech_gives_back,https://s3-eu-west-1.amazonaws.com/ws20-output/710653456_How_fintech_gives_back.mp4,https://vimeo.com/487030091/e6ef2c1543710653456
711096575,Making_the_global_economy_fairer,https://s3-eu-west-1.amazonaws.com/ws20-output/711096575_Making_the_global_economy_fairer.mp4,https://vimeo.com/488813896/a76982c5b6
724967687,How_secure_were_the_2020_US_elections?,https://s3-eu-west-1.amazonaws.com/ws20-output/724967687_How_secure_were_the_2020_US_elections?.mp4,https://vimeo.com/488812951/d8e02a160b
711368352,Meaningful_creation_in_the_internet_of_things,https://s3-eu-west-1.amazonaws.com/ws20-output/711368352_Meaningful_creation_in_the_internet_of_things.mp4,https://vimeo.com/488615880/9a6aa0c70b
711096590,How_to_hack_your_health_and_happiness,https://s3-eu-west-1.amazonaws.com/ws20-output/711096590_How_to_hack_your_health_and_happiness.mp4,https://vimeo.com/488768565/0d843db65e
