FILE NAME,UUID,Omnia UUID,Talk Title,Description,SP1,SP2,SP3,MOD
C25.2_WS20_724967679_TLK_EDT_V1_FIN,724967679,f71c9202-d20e-49a2-8be8-ff2930c30400,What is wrong with capitalism today?,"Capitalism has brought about the greatest period of economic prosperity in human history. However, it has also increased inequality and damaged social cohesion. Join us to hear from some of the world's leading economic thinkers about what, exactly, is wrong with capitalism today.",Quinn Slobodian,,,Rob Cox
B16.2_WS20_724967682_TLK_EDT_V2_FIN,724967682,07f5ace9-77f3-4e79-98d7-d35f1a260fb0,Whistleblowers welcome?,"The environment is changing for whistleblowers, but is that a good thing?",Mark Zaid,Andrew Bakaj,,Versha Sharma
C28.2_WS20_724967685_TLK_EDT_V3_FIN,724967685,3102748b-2e13-4487-8190-df5fece3bf8b,The meeting room that's never full,"Throughout this year, everyone has had to make changes, big and small. Some businesses have thrived, with their employees working from home productively. Others have struggled to adapt. Join the CEO and co-founder of Atlassian, Scott Farquhar, in conversation with Vision Funds' Deep Nishar, discussing what working life might look like in 2020 and beyond.",Deep Nishar,Scott Farquhar,,
D34.2_WS20_724967687_TLK_EDT_V2,724967687,cd0ac6f7-8adb-4243-be66-43b2caf0f38e,How secure were the 2020 US elections?,"Leading privacy expert Alex Stamos reviews the 2020 US elections, examining what went right and what went wrong from a security perspective, and comparing them to 2016.",Alex Stamos,,,Elizabeth Dwoskin
B21.2_WS20_724967689_TLK_EDT_V3_FIN,724967689,66c2c32b-f2b7-4d8c-a6c0-87e175aab183,Can green tech save the planet?,"In the fight to save the planet, it can be hard to see the forest for the trees. Enter Ecosia and Dr Jane Goodall, DBE. The world’s only tree-planting search engine has partnered with the world-renowned ethologist and environmentalist to plant tree corridors in Uganda. In this exclusive Web Summit session, we hear from Ecosia’s chief tree planting officer, Pieter Van Midwoud, and Dr Goodall, founder of the Jane Goodall Institute and UN Messenger of Peace, about how their two organisations are harnessing tech to chart a new course for conservation as they tackle the climate crisis.","Jane Goodall, DBE",Pieter Van Midwoud,,Patrick Greenfield
F11.2_WS20_724967692_TLK_EDT_V4_FIN,724967692,ff0a1e09-6aaf-4777-96ce-9d84d1dddc5f,From superstar to underdog to cultural icon – building a brand beyond the ring,"Join Drew in a fireside chat as he discusses his personal story of inspiration, honing his skills across the globe, and tapping into his rare combination of size, athletic ability and charisma for a triumphant return on the global stage.",Drew McIntyre,,,DJ Ace
D38.2_WS20_724967694_TLK_EDT_V3_FIN,724967694,1c793886-6dae-4f6a-8a02-a7eba127f73a,Navigating the CEO-investor relationship,"Some investments take years to make, and the CEO-investor relationship is carved out along the way. Top VC Fred Wilson and Quizlet CEO Matthew Glotzbach are here to tell us about their journey from the chase to the boardroom. ",Fred Wilson,Matthew Glotzbach,,Melody Hahm
B26.2_WS20_724967698_TLK_EDT_V3_FIN,724967698,f1c64c67-6e5a-4a04-94aa-03556a4bc66f,How business can navigate the pandemic,Every industry has been hit hard during the pandemic. How do you lead during a time of crisis in a way that both steadies the ship and moves your company forward?,Caryn Seidman-Becker,Steve Case,,Stephanie Mehta
D37.2_WS20_724967701_TLK_EDT_V2_FIN,724967701,f9d636c3-78ae-42d8-8272-06b4d65dcdbd,The rise of the millenial investor,Has technology changed the investment game for the better?,Yoni Assia,,,
E7.2_WS20_724967703_TLK_EDT_V3_FIN,724967703,ca3fc562-d6b2-496c-9912-d1f176b30c3a,Open web = open world?,"Join this talk to learn about how we can all benefit from the open web, and how the open web can serve as a global public resource.",Dries Buytaert,Matt Mullenweg,Mitchell Baker,Jeremy Kaplan
C24.2_WS20_724967705_TLK_EDT_V1_FIN,724967705,8b91ab69-a76b-415e-91ca-9f352b456b0c,"Facebook, elections and political speech","Hear from former UK deputy prime minister and now VP of Global Affairs and Communications at Facebook, Nick Clegg on Facebook, the election and everything in between.",Nick Clegg,,,John Micklethwait
B31.2_WS20_724967708_TLK_EDT_V1_FIN,724967708,60dc3073-2f38-4b2c-8aef-c36f446addc9,Using AI to save the food industry,"This talk will showcase a rising star from the global startup scene, and highlight how they've grown exponentially over the past 12 months.",Matias Muchnick,,,
D10.2_WS20_724967714_TLK_EDT_V2_FIN,724967714,2362e6d4-11d7-4528-9ce2-3eced7aacf07,Helping companies build valuable partnerships,"This talk will showcase a rising star from the global startup scene, and highlight how they've grown exponentially over the past 12 months.",Bob Moore,,,
C34.2_WS20_724967715_TLK_EDT_V2_FIN,724967715,bbcfeb47-fdfb-4719-aca5-e69b2cf7a660,Are investors still investing?,"The present pandemic has left millions of people around the world without jobs, but some industries have prospered, such as tech. So, how has investing and funding changed in light of Covid-19, and what are the current trends? Top investors Renata Quintini and Tim Draper give us their view on the current VC landscape. ",Tim Draper,Renata Quintini,,Kia Kokalitcheva
B36.2_WS20_724967716_TLK_EDT_V2_FIN,724967716,70fae4a8-ce01-4ae0-991c-c5de64ec8e84,What today is telling us about tomorrow,"Benedict Evans, analyst and venture partner at Mosaic Ventures, is back with another insightful look at the trends that will define the tech industry over the coming months and years.",Benedict Evans,,,
